date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,52890
2001-01-01,2019-10-25,2019-10-25,53159
2001-04-01,2019-10-25,2019-10-25,55222
2001-07-01,2019-10-25,2019-10-25,55335
2001-10-01,2019-10-25,2019-10-25,59203
2002-01-01,2019-10-25,2019-10-25,56258
2002-04-01,2019-10-25,2019-10-25,57873
2002-07-01,2019-10-25,2019-10-25,57823
2002-10-01,2019-10-25,2019-10-25,63869
2003-01-01,2019-10-25,2019-10-25,60483
2003-04-01,2019-10-25,2019-10-25,60355
2003-07-01,2019-10-25,2019-10-25,58257
2003-10-01,2019-10-25,2019-10-25,57463
2004-01-01,2019-10-25,2019-10-25,57083
2004-04-01,2019-10-25,2019-10-25,58169
2004-07-01,2019-10-25,2019-10-25,59404
2004-10-01,2019-10-25,2019-10-25,64785
2005-01-01,2019-10-25,2019-10-25,62004
2005-04-01,2019-10-25,2019-10-25,60296
2005-07-01,2019-10-25,2019-10-25,61744
2005-10-01,2019-10-25,2019-10-25,67318
2006-01-01,2019-10-25,2019-10-25,70118
2006-04-01,2019-10-25,2019-10-25,70697
2006-07-01,2019-10-25,2019-10-25,70723
2006-10-01,2019-10-25,2019-10-25,73945
2007-01-01,2019-10-25,2019-10-25,73634
2007-04-01,2019-10-25,2019-10-25,73801
2007-07-01,2019-10-25,2019-10-25,74730
2007-10-01,2019-10-25,2019-10-25,78188
2008-01-01,2019-10-25,2019-10-25,74988
2008-04-01,2019-10-25,2019-10-25,75407
2008-07-01,2019-10-25,2019-10-25,77409
2008-10-01,2019-10-25,2019-10-25,79258
2009-01-01,2019-10-25,2019-10-25,75834
2009-04-01,2019-10-25,2019-10-25,78442
2009-07-01,2019-10-25,2019-10-25,79439
2009-10-01,2019-10-25,2019-10-25,83656
2010-01-01,2019-10-25,2019-10-25,81795
2010-04-01,2019-10-25,2019-10-25,81313
2010-07-01,2019-10-25,2019-10-25,82384
2010-10-01,2019-10-25,2019-10-25,83021
2011-01-01,2019-10-25,2019-10-25,81036
2011-04-01,2019-10-25,2019-10-25,82885
2011-07-01,2019-10-25,2019-10-25,84402
2011-10-01,2019-10-25,2019-10-25,84537
2012-01-01,2019-10-25,2019-10-25,82657
2012-04-01,2019-10-25,2019-10-25,84106
2012-07-01,2019-10-25,2019-10-25,82450
2012-10-01,2019-10-25,2019-10-25,84809
2013-01-01,2019-10-25,2019-10-25,82583
2013-04-01,2019-10-25,2019-10-25,85093
2013-07-01,2019-10-25,2019-10-25,88397
2013-10-01,2019-10-25,2019-10-25,86470
2014-01-01,2019-10-25,2019-10-25,87328
2014-04-01,2019-10-25,2019-10-25,97035
2014-07-01,2019-10-25,2019-10-25,96857
2014-10-01,2019-10-25,2019-10-25,101037
2015-01-01,2019-10-25,2019-10-25,94975
2015-04-01,2019-10-25,2019-10-25,100849
2015-07-01,2019-10-25,2019-10-25,101171
2015-10-01,2019-10-25,2019-10-25,102740
2016-01-01,2019-10-25,2019-10-25,98967
2016-04-01,2019-10-25,2019-10-25,104329
2016-07-01,2019-10-25,2019-10-25,105502
2016-10-01,2019-10-25,2019-10-25,106578
2017-01-01,2019-10-25,2019-10-25,102244
2017-04-01,2019-10-25,2019-10-25,108106
2017-07-01,2019-10-25,2019-10-25,108390
2017-10-01,2019-10-25,2019-10-25,108982
2018-01-01,2019-10-25,2019-10-25,104489
2018-04-01,2019-10-25,2019-10-25,111260
2018-07-01,2019-10-25,2019-10-25,113481
2018-10-01,2019-10-25,2019-10-25,118542
2019-01-01,2019-10-25,2019-10-25,110940
2019-04-01,2019-10-25,2019-10-25,113386
