date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,43926
2001-01-01,2019-10-25,2019-10-25,42938
2001-04-01,2019-10-25,2019-10-25,41074
2001-07-01,2019-10-25,2019-10-25,40223
2001-10-01,2019-10-25,2019-10-25,20971
2002-01-01,2019-10-25,2019-10-25,19756
2002-04-01,2019-10-25,2019-10-25,19471
2002-07-01,2019-10-25,2019-10-25,19517
2002-10-01,2019-10-25,2019-10-25,20614
2003-01-01,2019-10-25,2019-10-25,23488
2003-04-01,2019-10-25,2019-10-25,23389
2003-07-01,2019-10-25,2019-10-25,23945
2003-10-01,2019-10-25,2019-10-25,18640
2004-01-01,2019-10-25,2019-10-25,17879
2004-04-01,2019-10-25,2019-10-25,17135
2004-07-01,2019-10-25,2019-10-25,18628
2004-10-01,2019-10-25,2019-10-25,19047
2005-01-01,2019-10-25,2019-10-25,20004
2005-04-01,2019-10-25,2019-10-25,20103
2005-07-01,2019-10-25,2019-10-25,19802
2005-10-01,2019-10-25,2019-10-25,20536
2006-01-01,2019-10-25,2019-10-25,20669
2006-04-01,2019-10-25,2019-10-25,22394
2006-07-01,2019-10-25,2019-10-25,21959
2006-10-01,2019-10-25,2019-10-25,25673
2007-01-01,2019-10-25,2019-10-25,22880
2007-04-01,2019-10-25,2019-10-25,22503
2007-07-01,2019-10-25,2019-10-25,25347
2007-10-01,2019-10-25,2019-10-25,27788
2008-01-01,2019-10-25,2019-10-25,26173
2008-04-01,2019-10-25,2019-10-25,26202
2008-07-01,2019-10-25,2019-10-25,26223
2008-10-01,2019-10-25,2019-10-25,28934
2009-01-01,2019-10-25,2019-10-25,30421
2009-04-01,2019-10-25,2019-10-25,28983
2009-07-01,2019-10-25,2019-10-25,27726
2009-10-01,2019-10-25,2019-10-25,24485
2010-01-01,2019-10-25,2019-10-25,23197
2010-04-01,2019-10-25,2019-10-25,21579
2010-07-01,2019-10-25,2019-10-25,20763
2010-10-01,2019-10-25,2019-10-25,17886
2011-01-01,2019-10-25,2019-10-25,18035
2011-04-01,2019-10-25,2019-10-25,17159
2011-07-01,2019-10-25,2019-10-25,17120
2011-10-01,2019-10-25,2019-10-25,16487
2012-01-01,2019-10-25,2019-10-25,16738
2012-04-01,2019-10-25,2019-10-25,16849
2012-07-01,2019-10-25,2019-10-25,16650
2012-10-01,2019-10-25,2019-10-25,16947
2013-01-01,2019-10-25,2019-10-25,18215
2013-04-01,2019-10-25,2019-10-25,18495
2013-07-01,2019-10-25,2019-10-25,21523
2013-10-01,2019-10-25,2019-10-25,19431
2014-01-01,2019-10-25,2019-10-25,19287
2014-04-01,2019-10-25,2019-10-25,21285
2014-07-01,2019-10-25,2019-10-25,22908
2014-10-01,2019-10-25,2019-10-25,22299
2015-01-01,2019-10-25,2019-10-25,28072
2015-04-01,2019-10-25,2019-10-25,28282
2015-07-01,2019-10-25,2019-10-25,30162
2015-10-01,2019-10-25,2019-10-25,30692
2016-01-01,2019-10-25,2019-10-25,27982
2016-04-01,2019-10-25,2019-10-25,32603
2016-07-01,2019-10-25,2019-10-25,30685
2016-10-01,2019-10-25,2019-10-25,32037
2017-01-01,2019-10-25,2019-10-25,33033
2017-04-01,2019-10-25,2019-10-25,37034
2017-07-01,2019-10-25,2019-10-25,30286
2017-10-01,2019-10-25,2019-10-25,29130
2018-01-01,2019-10-25,2019-10-25,29321
2018-04-01,2019-10-25,2019-10-25,29649
2018-07-01,2019-10-25,2019-10-25,29263
2018-10-01,2019-10-25,2019-10-25,28893
2019-01-01,2019-10-25,2019-10-25,27537
2019-04-01,2019-10-25,2019-10-25,29847
